year,month,province,region,animal_bites,vaccinated,serum,human_cases,deaths
2019,1,Hà Nội,Miền Bắc,135,110,35,0,0
2019,1,Hải Phòng,Miền Bắc,118,100,32,1,0
2019,1,Quảng Ninh,Miền Bắc,100,69,17,0,0
2019,1,Bắc Giang,Miền Bắc,144,113,24,0,0
2019,1,Lạng Sơn,Miền Bắc,127,105,23,1,1
2019,1,Sơn La,Miền Bắc,135,90,30,0,0
2019,1,Thanh Hóa,Miền Bắc,111,73,29,0,0
2019,1,Nghệ An,Miền Bắc,156,120,37,0,0
2019,1,Đà Nẵng,Miền Trung,126,84,19,0,0
2019,1,Quảng Nam,Miền Trung,97,69,26,0,0
2019,1,Quảng Ngãi,Miền Trung,118,80,29,0,0
2019,1,Bình Định,Miền Trung,91,76,26,1,0
2019,1,Khánh Hòa,Miền Trung,101,80,20,0,0
2019,1,Phú Yên,Miền Trung,102,83,27,1,1
2019,1,Gia Lai,Tây Nguyên,172,132,37,0,0
2019,1,Đắk Lắk,Tây Nguyên,131,104,26,1,1
2019,1,Lâm Đồng,Tây Nguyên,128,87,35,2,2
2019,1,Kon Tum,Tây Nguyên,120,84,23,2,1
2019,1,Hồ Chí Minh,Miền Nam,100,72,21,1,0
2019,1,Cần Thơ,Miền Nam,117,84,20,0,0
2019,1,An Giang,Miền Nam,111,73,18,1,0
2019,1,Kiên Giang,Miền Nam,141,99,35,0,0
2019,1,Đồng Tháp,Miền Nam,121,93,18,1,1
2019,1,Bình Phước,Miền Nam,115,79,27,0,0
2019,1,Tây Ninh,Miền Nam,154,112,23,2,1
2019,2,Hà Nội,Miền Bắc,142,121,47,1,0
2019,2,Hải Phòng,Miền Bắc,154,103,22,2,1
2019,2,Quảng Ninh,Miền Bắc,121,96,22,1,0
2019,2,Bắc Giang,Miền Bắc,165,132,41,0,0
2019,2,Lạng Sơn,Miền Bắc,139,98,40,0,0
2019,2,Sơn La,Miền Bắc,153,127,38,1,0
2019,2,Thanh Hóa,Miền Bắc,130,103,22,3,3
2019,2,Nghệ An,Miền Bắc,179,123,38,3,0
2019,2,Đà Nẵng,Miền Trung,119,101,36,1,1
2019,2,Quảng Nam,Miền Trung,112,93,31,2,1
2019,2,Quảng Ngãi,Miền Trung,138,108,20,0,0
2019,2,Bình Định,Miền Trung,121,82,25,1,1
2019,2,Khánh Hòa,Miền Trung,128,104,43,1,1
2019,2,Phú Yên,Miền Trung,130,96,21,0,0
2019,2,Gia Lai,Tây Nguyên,166,135,45,0,0
2019,2,Đắk Lắk,Tây Nguyên,164,122,29,0,0
2019,2,Lâm Đồng,Tây Nguyên,173,117,22,0,0
2019,2,Kon Tum,Tây Nguyên,152,115,23,1,1
